usuario_id,data_hora,evento
dcdff191-8e4f-4672-aa21-61ddd6e16b65,2025-01-14 06:14:58,visualizacao_tela:instalacao
dcdff191-8e4f-4672-aa21-61ddd6e16b65,2025-01-14 06:15:58,clique_botao:criar_conta
dcdff191-8e4f-4672-aa21-61ddd6e16b65,2025-01-14 06:19:58,clique_botao:cadastro
dcdff191-8e4f-4672-aa21-61ddd6e16b65,2025-01-14 06:22:58,clique_botao:pin_cadastro
dcdff191-8e4f-4672-aa21-61ddd6e16b65,2025-01-14 06:25:58,visualizacao_tela:inicio
dcdff191-8e4f-4672-aa21-61ddd6e16b65,2025-01-14 07:05:58,clique_botao:minibook
dcdff191-8e4f-4672-aa21-61ddd6e16b65,2025-01-14 07:26:58,clique_botao:minibook
dcdff191-8e4f-4672-aa21-61ddd6e16b65,2025-01-14 07:44:58,clique_botao:ler_minibook
5d5dfeaa-bb0c-4766-ad94-7135abe976f8,2025-02-08 20:16:28,visualizacao_tela:instalacao
5d5dfeaa-bb0c-4766-ad94-7135abe976f8,2025-02-08 20:17:28,clique_botao:criar_conta
5d5dfeaa-bb0c-4766-ad94-7135abe976f8,2025-02-08 20:22:28,clique_botao:cadastro
f081b639-9f96-415a-b139-a37336b25350,2025-03-20 07:05:51,visualizacao_tela:instalacao
0ea9d453-5d0a-409c-ae9d-a5804bcabb76,2025-03-23 17:03:59,visualizacao_tela:instalacao
0ea9d453-5d0a-409c-ae9d-a5804bcabb76,2025-03-23 17:04:59,clique_botao:criar_conta
0ea9d453-5d0a-409c-ae9d-a5804bcabb76,2025-03-23 17:09:59,clique_botao:cadastro
0ea9d453-5d0a-409c-ae9d-a5804bcabb76,2025-03-23 17:12:59,clique_botao:pin_cadastro
a1da2ac0-2c8c-459e-88a7-99207549a541,2025-01-25 16:00:43,visualizacao_tela:instalacao
a1da2ac0-2c8c-459e-88a7-99207549a541,2025-01-25 16:05:43,clique_botao:criar_conta
a1da2ac0-2c8c-459e-88a7-99207549a541,2025-01-25 16:06:43,clique_botao:cadastro
a1da2ac0-2c8c-459e-88a7-99207549a541,2025-01-25 16:07:43,clique_botao:pin_cadastro
a1da2ac0-2c8c-459e-88a7-99207549a541,2025-01-25 16:11:43,visualizacao_tela:inicio
a1da2ac0-2c8c-459e-88a7-99207549a541,2025-01-25 16:41:43,clique_botao:ebook
a1da2ac0-2c8c-459e-88a7-99207549a541,2025-01-25 16:58:43,clique_botao:ler_ebook
a1da2ac0-2c8c-459e-88a7-99207549a541,2025-01-25 17:05:43,clique_botao:ebook
a1da2ac0-2c8c-459e-88a7-99207549a541,2025-01-25 17:16:43,clique_botao:ler_ebook
a1da2ac0-2c8c-459e-88a7-99207549a541,2025-01-25 17:45:43,clique_botao:ebook
a1da2ac0-2c8c-459e-88a7-99207549a541,2025-01-25 18:02:43,clique_botao:ebook
a1da2ac0-2c8c-459e-88a7-99207549a541,2025-01-25 18:41:43,clique_botao:ler_ebook
e6a81de5-5a94-429c-956c-b690e034bc8d,2025-01-11 15:45:32,visualizacao_tela:instalacao
6cdc34da-13e9-44c5-bb2c-9211b93f504f,2025-02-18 00:58:02,visualizacao_tela:instalacao
fcdf2fad-3513-46ad-a211-a12c649b58b0,2025-03-28 11:35:41,visualizacao_tela:instalacao
fcdf2fad-3513-46ad-a211-a12c649b58b0,2025-03-28 11:38:41,clique_botao:criar_conta
33c8465b-1ba8-4847-8420-f61df8b0edf0,2025-03-27 07:06:44,visualizacao_tela:instalacao
33c8465b-1ba8-4847-8420-f61df8b0edf0,2025-03-27 07:10:44,clique_botao:criar_conta
68a3ed4c-3fb7-415c-a293-32310b93722f,2025-03-21 05:10:16,visualizacao_tela:instalacao
68a3ed4c-3fb7-415c-a293-32310b93722f,2025-03-21 05:12:16,clique_botao:criar_conta
68a3ed4c-3fb7-415c-a293-32310b93722f,2025-03-21 05:15:16,clique_botao:cadastro
8e3503ce-280a-4d24-a45b-561c6e2ead8d,2025-01-02 06:41:17,visualizacao_tela:instalacao
8e3503ce-280a-4d24-a45b-561c6e2ead8d,2025-01-02 06:46:17,clique_botao:criar_conta
8e3503ce-280a-4d24-a45b-561c6e2ead8d,2025-01-02 06:49:17,clique_botao:cadastro
8e3503ce-280a-4d24-a45b-561c6e2ead8d,2025-01-02 06:54:17,clique_botao:pin_cadastro
8e3503ce-280a-4d24-a45b-561c6e2ead8d,2025-01-02 06:55:17,visualizacao_tela:inicio
8e3503ce-280a-4d24-a45b-561c6e2ead8d,2025-01-02 07:12:17,clique_botao:ebook
8e3503ce-280a-4d24-a45b-561c6e2ead8d,2025-01-02 08:00:17,clique_botao:ebook
8e3503ce-280a-4d24-a45b-561c6e2ead8d,2025-01-02 08:07:17,clique_botao:ler_ebook
8e3503ce-280a-4d24-a45b-561c6e2ead8d,2025-01-02 08:44:17,clique_botao:ler_ebook
8e3503ce-280a-4d24-a45b-561c6e2ead8d,2025-01-02 09:21:17,clique_botao:ler_minibook
8e3503ce-280a-4d24-a45b-561c6e2ead8d,2025-01-02 10:11:17,clique_botao:ler_ebook
cb92b89f-e7ce-4844-9650-04fba150af17,2025-01-17 10:02:07,visualizacao_tela:instalacao
cb92b89f-e7ce-4844-9650-04fba150af17,2025-01-17 10:05:07,clique_botao:criar_conta
cb92b89f-e7ce-4844-9650-04fba150af17,2025-01-17 10:09:07,clique_botao:cadastro
aeb8446f-1ebc-47fe-a050-b5796365f4a5,2025-03-26 18:42:59,visualizacao_tela:instalacao
aeb8446f-1ebc-47fe-a050-b5796365f4a5,2025-03-26 18:44:59,clique_botao:criar_conta
aeb8446f-1ebc-47fe-a050-b5796365f4a5,2025-03-26 18:45:59,clique_botao:cadastro
aeb8446f-1ebc-47fe-a050-b5796365f4a5,2025-03-26 18:46:59,clique_botao:pin_cadastro
aeb8446f-1ebc-47fe-a050-b5796365f4a5,2025-03-26 18:49:59,visualizacao_tela:inicio
aeb8446f-1ebc-47fe-a050-b5796365f4a5,2025-03-26 18:59:59,clique_botao:audiobook
aeb8446f-1ebc-47fe-a050-b5796365f4a5,2025-03-26 19:23:59,clique_botao:ouvir_audiobook
aeb8446f-1ebc-47fe-a050-b5796365f4a5,2025-03-26 20:07:59,clique_botao:ler_minibook
aeb8446f-1ebc-47fe-a050-b5796365f4a5,2025-03-26 20:28:59,clique_botao:ler_ebook
f3d581be-b4d1-446b-9847-24d9bb03345d,2025-02-24 12:21:49,visualizacao_tela:instalacao
f3d581be-b4d1-446b-9847-24d9bb03345d,2025-02-24 12:25:49,clique_botao:criar_conta
f3d581be-b4d1-446b-9847-24d9bb03345d,2025-02-24 12:26:49,clique_botao:cadastro
f3d581be-b4d1-446b-9847-24d9bb03345d,2025-02-24 12:30:49,clique_botao:pin_cadastro
3136111e-1606-4d4b-8213-565b247e05ef,2025-02-04 05:24:08,visualizacao_tela:instalacao
3136111e-1606-4d4b-8213-565b247e05ef,2025-02-04 05:27:08,clique_botao:criar_conta
3136111e-1606-4d4b-8213-565b247e05ef,2025-02-04 05:28:08,clique_botao:cadastro
3136111e-1606-4d4b-8213-565b247e05ef,2025-02-04 05:32:08,clique_botao:pin_cadastro
797e14d7-dd98-48e4-b0a8-a3549954f1a5,2025-03-08 20:52:12,visualizacao_tela:instalacao
797e14d7-dd98-48e4-b0a8-a3549954f1a5,2025-03-08 20:57:12,clique_botao:criar_conta
797e14d7-dd98-48e4-b0a8-a3549954f1a5,2025-03-08 20:59:12,clique_botao:cadastro
797e14d7-dd98-48e4-b0a8-a3549954f1a5,2025-03-08 21:03:12,clique_botao:pin_cadastro
797e14d7-dd98-48e4-b0a8-a3549954f1a5,2025-03-08 21:04:12,visualizacao_tela:inicio
